id_inmueble,fecha_publicacion,tipo_inmueble,ciudad,superficie_m2,habitaciones,banos,tiene_ascensor,certificacion_energetica,precio,estado_mercado,descripcion
7306,2023-09-12,Ático,A Coruña,150,4.0,1,No,C,,Reservado,Fantástico ático con vistas despejadas. Listo para entrar a vivir.
15615,2023-01-06,Ático,,75,4.0,2,1,E,295450.0,Disponible,Luminoso ático cerca de transporte público. Alta rentabilidad.
7684,2023-08-21,Piso,A Coruña,81,4.0,3,False,A,283394.0,Vendido,Exclusivo piso con orientación sur. Ideal para inversión.
7115,2023-11-04,Piso,A Coruña,95,4.0,3,False,C,291560.0,Reservado,Luminoso piso en barrio consolidado. Alta rentabilidad.
19520,2023-08-15,Chalet,A Coruña,110,3.0,2,Sí,F,356153.0,Disponible,Exclusivo chalet en barrio consolidado. Con excelentes calidades.
15362,2023-04-07,Piso,A Coruña,97,4.0,2,False,C,328623.0,Disponible,Precioso piso en pleno centro. Ideal para inversión.
2243,2023-03-08,Piso,A Coruña,109,3.0,2,True,G,358495.0,Reservado,Espectacular piso en barrio consolidado. Ideal para inversión.
10133,2023-07-09,Chalet,A Coruña,80,4.0,2,False,A,210189.0,Disponible,Espectacular chalet en pleno centro. Ideal para inversión.
18271,2023-04-01,Piso,A Coruña,89,2.0,1,Sí,En trámite,234754.0,Reservado,Fantástico piso con orientación sur. Listo para entrar a vivir.
13994,2023-03-15,Piso,A Coruña,46,1.0,1,True,E,149954.0,Disponible,Magnífico piso cerca de transporte público. Mejor ver.
6112,2023-05-14,,A Coruña,107,4.0,3,False,En trámite,222704.0,Vendido,Precioso piso en barrio consolidado. Ideal familias.
7129,2023-06-28,Piso,A Coruña,102,2.0,1,Sí,D,340240.0,Reservado,Acogedor piso cerca de transporte público. No pierdas esta oportunidad.
12692,2023-05-25,Chalet,A Coruña,137,4.0,2,0,G,461241.0,Disponible,Exclusivo chalet con orientación sur. Ideal familias.
12375,2023-08-07,Ático,A Coruña,,,3,Sí,E,371763.0,Reservado,Precioso ático a pocos minutos del centro. Ideal para inversión.
12093,2023-07-26,Piso,A Coruña,81,4.0,3,Sí,A,318388.0,Vendido,Precioso piso en zona residencial tranquila. Ideal para inversión.
4375,2023-03-01,Piso,A Coruña,95,4.0,2,No,En trámite,348478.0,Vendido,Precioso piso en pleno centro. Alta rentabilidad.
16827,2023-02-16,Piso,A Coruña,128,2.0,1,No,A,502921.0,Vendido,Precioso piso en zona residencial tranquila. Ideal para inversión.
14147,2023-11-10,Chalet,A Coruña,146,3.0,1,Sí,En trámite,569063.0,Vendido,Exclusivo chalet en zona residencial tranquila. Ideal familias.
4098,2023-12-16,Piso,A Coruña,79,4.0,3,True,C,183118.0,Vendido,Luminoso piso en barrio consolidado. Mejor ver.
6281,2023-11-27,Dúplex,A Coruña,67,2.0,1,0,En trámite,175296.0,Vendido,Magnífico dúplex en barrio consolidado. Ideal familias.
2934,2023-04-07,Piso,,102,3.0,1,Sí,F,394739.0,Disponible,Luminoso piso con vistas despejadas. Listo para entrar a vivir. => URGE VENTA <=
10585,2023-02-22,Piso,A Coruña,97,4.0,1,False,A,329474.0,Vendido,Espectacular piso cerca de transporte público. Ideal para inversión.
18880,2023-07-28,Piso,A Coruña,127,2.0,1,Sí,En trámite,414284.0,Disponible,Luminoso piso con vistas despejadas. Con excelentes calidades.
18191,2023-06-27,Piso,A Coruña,49,1.0,1,False,B,190790.0,Reservado,Fantástico piso con orientación sur. Mejor ver.
18486,2023-11-05,Piso,A Coruña,86,3.0,1,1,E,267656.0,Disponible,Espectacular piso a pocos minutos del centro. Ideal familias.
1263,2023-05-11,Piso,A Coruña,124,2.0,1,Sí,F,392978.0,Disponible,Espectacular piso con vistas despejadas. Alta rentabilidad.
3484,2023-11-22,Ático,A Coruña,77,3.0,2,0,B,194751.0,Reservado,Precioso ático con vistas despejadas. No pierdas esta oportunidad.
19519,2023-07-18,Piso,A Coruña,114,3.0,2,False,C,370619.0,Vendido,Precioso piso a pocos minutos del centro. Con excelentes calidades.
17901,2023-10-18,Piso,A Coruña,83,4.0,3,No,C,330138.0,Vendido,Espectacular piso en barrio consolidado. No pierdas esta oportunidad.
16034,2023-01-03,Piso,A Coruña,132,4.0,2,No,E,326122.0,Reservado,Luminoso piso con orientación sur. Ideal para inversión.
18801,2023-12-16,Piso,A Coruña,85,4.0,3,No,En trámite,284218.0,Reservado,Precioso piso con vistas despejadas. Con excelentes calidades.
14742,2023-12-03,Piso,A Coruña,109,2.0,1,No,G,244008.0,Disponible,Luminoso piso con vistas despejadas. Listo para entrar a vivir.
4948,2023-08-04,Chalet,A Coruña,90,4.0,3,0,C,213088.0,Disponible,Luminoso chalet en barrio consolidado. Con excelentes calidades.
17648,2023-10-22,Chalet,A Coruña,127,4.0,2,1,C,457793.0,Disponible,Acogedor chalet en zona residencial tranquila. Mejor ver.
15626,2023-03-09,Piso,A Coruña,106,3.0,2,Sí,G,335651.0,Reservado,Fantástico piso en barrio consolidado. Mejor ver.
3383,2023-02-19,Piso,A Coruña,84,2.0,1,1,G,276314.0,Reservado,Magnífico piso en barrio consolidado. Alta rentabilidad.
16674,2023-06-20,Chalet,A Coruña,63,3.0,3,False,E,199847.0,Vendido,Exclusivo chalet en pleno centro. Ideal familias.
981,2023-08-19,Piso,A Coruña,122,3.0,1,True,E,482068.0,Reservado,Acogedor piso en pleno centro. Ideal para inversión.
5256,2023-08-18,Piso,A Coruña,116,4.0,3,1,En trámite,278237.0,Disponible,Amplio piso en pleno centro. No pierdas esta oportunidad.
10344,2023-05-29,Chalet,A Coruña,124,3.0,3,0,E,294825.0,Disponible,Luminoso chalet en zona residencial tranquila. No pierdas esta oportunidad.
18708,2023-05-27,Dúplex,A Coruña,133,3.0,3,True,A,503433.0,Disponible,Exclusivo dúplex con orientación sur. Ideal para inversión.
425,2023-05-15,Piso,A Coruña,30,1.0,1,True,C,117617.0,Vendido,Acogedor piso a pocos minutos del centro. Mejor ver.
4632,2023-12-06,Piso,,94,2.0,1,No,C,213836.0,Vendido,Espectacular piso en zona residencial tranquila. Alta rentabilidad.
16610,2023-09-03,Piso,A Coruña,140,3.0,3,Sí,B,316463.0,Vendido,Exclusivo piso en pleno centro. Ideal para inversión.
17042,2023-02-26,Piso,A Coruña,128,3.0,3,1,D,334435.0,Vendido,Espectacular piso cerca de transporte público. Listo para entrar a vivir.
2363,2023-03-14,Piso,A Coruña,74,3.0,2,1,G,163537.0,Reservado,Exclusivo piso en zona residencial tranquila. Ideal para inversión.
2251,2023-07-30,Piso,A Coruña,78,2.0,1,False,A,185115.0,Reservado,Exclusivo piso cerca de transporte público. No pierdas esta oportunidad.
15013,2023-09-12,Estudio,A Coruña,68,3.0,3,1,C,171675.0,Vendido,Exclusivo estudio a pocos minutos del centro. Ideal para inversión.
